Espécie,Pelotas,Corrientes,Turuçu,RPPN,Lami,Pacheca ,Taim,Itapuã,Itapeva,Lagoa do Peixe
Chrysops nigricorpus,0,0,0,0,0,0,0,0,0,1
Chrysops varians,0,3,8,6,4,0,19,3,0,75
Chrysops variegatus,3,0,1,0,2,6,0,0,0,0
Fidena marginalis,0,0,0,0,0,0,0,0,0,1
Acanthocera aureoscutellata,0,0,0,2,0,1,0,0,0,0
Acanthocera exstincta,0,2,1,0,2,0,0,0,0,0
Acanthocera longicornis,0,0,0,0,0,0,0,0,0,6
Catachlorops aff. fuscinevris,0,0,0,8,0,0,0,0,0,0
Catachlorops potator,0,0,0,3,0,0,0,0,0,0
Chlorotabanus inanis,0,0,0,4,0,0,0,0,0,0
Dasybasis missionum,0,0,2,0,0,0,1,0,0,0
Diachlorus bivittatus,0,0,0,82,0,0,0,0,0,1
Dichelacera alcicornis,0,0,0,50,13,0,0,1,53,0
Dichelacera fuscipes,0,0,0,0,0,6,0,8,0,0
Lepiselaga albitarsis,2,0,0,0,15,0,113,0,0,0
Phaeotabanus litigiosus,0,0,0,6,0,0,0,1,0,0
Poeciloderas quadripunctatus,4,0,0,2,0,0,15,0,0,3
Tabanus claripennis,15,217,199,1,1,17,48,0,0,10
Tabanus fuscofasciatus,0,0,0,52,0,27,0,0,0,0
Tabanus fuscus,0,0,0,1,0,0,0,12,1,11
Tabanus sorbillans,0,0,0,0,0,0,0,0,1,0
Tabanus occidentalis,5,2,1,37,7,155,0,1,0,0
Tabanus pungens,0,0,0,0,0,0,0,0,0,1
Tabanus sp.1,0,0,0,5,0,0,0,0,0,0
Tabanus triangulum,669,403,659,187,22,229,119,4,0,24